occurrences,severity_bps,confidence_bps,true_quarantine_rate,false_quarantine_rate,missed_containment_rate,precision,recall,f1,quarantine_count,reject_count,true_positive,false_positive,true_negative,false_negative,dataset_id,dataset_count,policy_digest
5,5000,9000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:3a108ef640ea939468e9c4ca132bc07401ac7ac9764a86ec7fcb6069892591e6
5,7000,5000,0.375,0.125,0.625,0.75,0.375,0.5,4,12,3,1,7,5,synthetic-risk-corpus-v1,16,sha256:1eb8a9a2fdd7a98af83221c68bfd02afb4fee42cd89bba5fc3afb333b6dbba2c
5,7000,7000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:e975ae350c195cc4e8beacbe4ee1bb08e6522339a425c2a134d7670743739026
5,7000,8000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:60224ffd87b30992777dde3dd8111171c5fc1e78738ed73395bb045feb19ce42
5,7000,9000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:48eed1fab4441f26fdb24e4c36dea9e151b937c5e5ee6b52ee4638bd97431f51
5,8000,5000,0.25,0.125,0.75,0.6666666666666666,0.25,0.36363636363636365,3,13,2,1,7,6,synthetic-risk-corpus-v1,16,sha256:7d3cb1889faba167469f63ff869b3879988779bf07a46a0f6eceee8c77a39b31
5,8000,7000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:579e2dfc8bb64a6f19f729ff93bea6fc6712a8f7e9b394dbae2dc4354d55fee0
5,8000,8000,0.125,0.0,0.875,1.0,0.125,0.2222222222222222,1,15,1,0,8,7,synthetic-risk-corpus-v1,16,sha256:9e3bab79e3c1e2f448077d8a19b18a9da365dea87d35892cebb20d4fe7afc664
5,8000,9000,0.125,0.0,0.875,1.0,0.125,0.2222222222222222,1,15,1,0,8,7,synthetic-risk-corpus-v1,16,sha256:fdfa87ff5a3476a9d49cf3fedbc904024e2ee9ad9c1f1eb420646219c15ec24d
5,9000,5000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:e7e3525ec9de754c9389eacaf3d42efb0eff07d50446efe809ba9aaf293f01eb
5,9000,7000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:3fdf92d26c5bc1e054ff633323576537930d8e24f7edf17992d67558d6d76b99
5,9000,8000,0.125,0.0,0.875,1.0,0.125,0.2222222222222222,1,15,1,0,8,7,synthetic-risk-corpus-v1,16,sha256:f8a09ec76e05504d2ba7d3104004d34fb73f968c06f98592db0c2978b1e622d2
5,9000,9000,0.125,0.0,0.875,1.0,0.125,0.2222222222222222,1,15,1,0,8,7,synthetic-risk-corpus-v1,16,sha256:2add1ab960ca46cea177533d02ea473560ad941f4a63ef42a2905d2d35e2a974
