baseline_id,stage,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
B1,parse,30000,7947.1929,7168.0,4216.541249423892,7168.0,12400.0,20678.0,7899.477195573747,7994.908604426253,5204.0,243714.0
B1,prepare,30000,11715.992266666666,10792.0,4821.307119673903,10792.0,17841.0,26116.0,11661.432841805832,11770.5516915275,8193.0,350388.0
B1,reconcile,30000,30.491566666666667,27.0,165.96325915392194,27.0,43.0,57.0,28.613474327243168,32.36965900609017,13.0,26222.0
B1,risk,30000,31.613466666666667,28.0,70.89167637770701,28.0,50.0,89.0,30.81123420261039,32.41569913072295,12.0,10549.0
B1,total,30000,205760.86053333333,162475.5,114044.4195527438,162472.0,420297.0,505766.0,204470.29808108983,207051.42298557682,74227.0,1712396.0
B1,validate,30000,17694.948733333335,16259.5,6958.586263104341,16259.0,27318.0,39604.0,17616.20318675526,17773.694279911408,12142.0,406273.0
B2,audit,30000,82.26306666666666,75.0,205.32099118106802,75.0,155.0,259.0,79.9395898765274,84.58654345680591,17.0,30126.0
B2,authorize,30000,30.486933333333333,23.0,130.2726660822593,23.0,46.0,110.0,29.012726949024778,31.96113971764189,14.0,12889.0
B2,canonicalize,30000,10897.1853,10179.0,5282.386542023396,10179.0,15065.0,22079.0,10837.408155654775,10956.962444345223,7760.0,540262.0
B2,commit,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,credential,30000,140858.55903333332,97773.5,110238.61753560133,97772.0,349725.0,415681.0,139611.0642314252,142106.05383524144,26910.0,1868962.0
B2,digest,30000,685.8655666666667,646.0,475.8436556970869,646.0,829.0,1256.0,680.4807704829576,691.2503628503758,557.0,34288.0
B2,identity,30000,3339.5729,3106.0,1963.5175809573527,3106.0,4244.0,5926.0,3317.353118670572,3361.7926813294284,2607.0,128561.0
B2,parse,30000,8730.045633333333,7919.0,4561.555578468904,7919.0,13721.0,21698.0,8678.425638453433,8781.665628213234,5828.0,258986.0
B2,prepare,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
