scenario,concurrency,failure_rate,attempts,successful_commits,successful_commit_rate,stale_conflict_rate,retry_count,invariant_violation_count,partial_publication_count,deadlock_count,timeout_count,terminal_resurrection_count,duplicate_success_count,unaudited_terminal_count,throughput_ops_s,p50_ns,p95_ns,p99_ns,starvation_indicator,rollback_success_rate,seed
revocation_commit_race,16,0.1,1000,594,0.594,0.0,0,0,0,0,0,0,0,0,74107.04896617323,1773,2819,10807,0,1.0,20264886
revocation_commit_race,64,0.0,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,38505.799397011346,1958,7917,13915,0,0.0,20265362
revocation_commit_race,64,0.001,1000,665,0.665,0.0,0,0,0,0,0,0,0,0,38460.74262001035,1822,7836,15165,0,1.0,20265363
revocation_commit_race,64,0.01,1000,654,0.654,0.0,0,0,0,0,0,0,0,0,25969.24560927595,1765,8359,15830,0,1.0,20265364
revocation_commit_race,64,0.05,1000,631,0.631,0.0,0,0,0,0,0,0,0,0,35808.54531546334,1812,9295,15737,0,1.0,20265365
revocation_commit_race,64,0.1,1000,599,0.599,0.0,0,0,0,0,0,0,0,0,36082.94646706173,1722,7624,15902,0,1.0,20265366
revocation_commit_race,128,0.0,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,21750.194191195023,1861,11991,15993,0,0.0,20266002
revocation_commit_race,128,0.001,1000,665,0.665,0.0,0,0,0,0,0,0,0,0,23671.08852069273,1787,10901,17086,0,1.0,20266003
revocation_commit_race,128,0.01,1000,663,0.663,0.0,0,0,0,0,0,0,0,0,22883.689506133916,1878,12426,16031,0,1.0,20266004
revocation_commit_race,128,0.05,1000,633,0.633,0.0,0,0,0,0,0,0,0,0,23124.63756466572,1879,11877,16542,0,1.0,20266005
revocation_commit_race,128,0.1,1000,606,0.606,0.0,0,0,0,0,0,0,0,0,23370.130850785878,2007,11570,16484,0,1.0,20266006
revocation_commit_race,256,0.0,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,11442.519925749306,2656,14681,19368,0,0.0,20267282
revocation_commit_race,256,0.001,1000,665,0.665,0.0,0,0,0,0,0,0,0,0,13050.168514868497,2578,13791,18669,0,1.0,20267283
revocation_commit_race,256,0.01,1000,659,0.659,0.0,0,0,0,0,0,0,0,0,13010.858849793696,2556,14933,21419,0,1.0,20267284
revocation_commit_race,256,0.05,1000,632,0.632,0.0,0,0,0,0,0,0,0,0,12344.655167987186,2580,14665,21400,0,1.0,20267285
revocation_commit_race,256,0.1,1000,594,0.594,0.0,0,0,0,0,0,0,0,0,12771.500386662892,2515,14771,19343,0,1.0,20267286
stale_snapshot,1,0.0,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,93197.417946909,2029,2282,3662,0,0.0,20265732
stale_snapshot,1,0.001,1000,189,0.189,0.81,810,0,0,0,0,0,0,0,84033.08382530414,830,1896,3181,0,1.0,20265733
stale_snapshot,1,0.01,1000,125,0.125,0.863,863,0,0,0,0,0,0,0,107285.00594403551,765,2027,2607,0,1.0,20265734
stale_snapshot,1,0.05,1000,9,0.009,0.94,940,0,0,0,0,0,0,0,110519.8055913486,767,867,2019,0,1.0,20265735
stale_snapshot,1,0.1,1000,1,0.001,0.889,889,0,0,0,0,0,0,0,110241.8783981466,872,937,2225,0,1.0,20265736
stale_snapshot,4,0.0,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,88355.53560681967,2016,2449,7032,0,0.0,20265762
stale_snapshot,4,0.001,1000,142,0.142,0.857,857,0,0,0,0,0,0,0,100616.05196297751,788,1974,3016,0,1.0,20265763
stale_snapshot,4,0.01,1000,192,0.192,0.8,800,0,0,0,0,0,0,0,88055.93453858199,862,2257,3967,0,1.0,20265764
stale_snapshot,4,0.05,1000,12,0.012,0.934,934,0,0,0,0,0,0,0,79457.77379499194,804,876,3657,0,1.0,20265765
stale_snapshot,4,0.1,1000,12,0.012,0.901,901,0,0,0,0,0,0,0,100424.00017122495,773,903,2895,0,1.0,20265766
stale_snapshot,16,0.0,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,68602.57178694698,2103,2713,11966,0,0.0,20265882
stale_snapshot,16,0.001,1000,300,0.3,0.698,698,0,0,0,0,0,0,0,77384.50285563919,758,2348,11124,0,1.0,20265883
stale_snapshot,16,0.01,1000,202,0.202,0.793,793,0,0,0,0,0,0,0,76205.84509484207,745,2276,10066,0,1.0,20265884
stale_snapshot,16,0.05,1000,9,0.009,0.95,950,0,0,0,0,0,0,0,80663.92215708563,727,1044,5923,0,1.0,20265885
stale_snapshot,16,0.1,1000,2,0.002,0.897,897,0,0,0,0,0,0,0,78533.44138465388,738,1038,5592,0,1.0,20265886
stale_snapshot,64,0.0,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,33565.83154092261,2014,9120,15921,0,0.0,20266362
stale_snapshot,64,0.001,1000,804,0.804,0.194,194,0,0,0,0,0,0,0,37594.49517343633,1882,8936,15333,0,1.0,20266363
stale_snapshot,64,0.01,1000,91,0.091,0.899,899,0,0,0,0,0,0,0,40264.516938740846,720,5446,14632,0,1.0,20266364
stale_snapshot,64,0.05,1000,23,0.023,0.926,926,0,0,0,0,0,0,0,40138.28119529021,722,4374,9457,0,1.0,20266365
stale_snapshot,64,0.1,1000,1,0.001,0.9,900,0,0,0,0,0,0,0,40477.10362035115,764,3612,7147,0,1.0,20266366
stale_snapshot,128,0.0,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,23055.774546978722,2092,12972,18742,0,0.0,20267002
stale_snapshot,128,0.001,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,23046.083871145736,2076,12687,16631,0,0.0,20267003
stale_snapshot,128,0.01,1000,163,0.163,0.827,827,0,0,0,0,0,0,0,23119.445784335814,772,9255,15443,0,1.0,20267004
stale_snapshot,128,0.05,1000,30,0.03,0.918,918,0,0,0,0,0,0,0,23023.59105351418,798,6090,11716,0,1.0,20267005
stale_snapshot,128,0.1,1000,11,0.011,0.886,886,0,0,0,0,0,0,0,22831.264988147883,747,6178,12198,0,1.0,20267006
stale_snapshot,256,0.0,1000,999,0.999,0.001,1,0,0,0,0,0,0,0,11896.748877880518,3007,16436,22793,0,0.0,20268282
stale_snapshot,256,0.001,1000,34,0.034,0.964,964,0,0,0,0,0,0,0,12471.9440500626,1078,7718,11074,0,1.0,20268283
stale_snapshot,256,0.01,1000,106,0.106,0.881,881,0,0,0,0,0,0,0,12482.199914845896,1148,9645,15470,0,1.0,20268284
